@productId 2122925  @averageScore 5  @beginRowNumber 0  @goodRate 0.938  @poorRateShow 2  @generalRateStyle 6  @poorRate 0.021  @goodRateShow 94  @generalRate 0.041  @generalRateShow 4  @goodRateStyle 141  @skuId 2122925  @score5Count 140193  @score4Count 14966  @poorRateStyle 3  @goodCount 155159  @poorCount 3605  @score1Count 3605  @score3Count 5247  @commentCount 165634  @showCount 7818  @generalCount 6870  @endRowNumber 0  @score2Count 1623
@productId 10394389318  @averageScore 5  @beginRowNumber 0  @goodRate 0.985  @poorRateShow 1  @generalRateStyle 1  @poorRate 0.01  @goodRateShow 98  @generalRate 0.005  @generalRateShow 1  @goodRateStyle 147  @skuId 10394389318  @score5Count 175  @score4Count 5  @poorRateStyle 2  @goodCount 180  @poorCount 2  @score1Count 2  @score3Count 0  @commentCount 183  @showCount 58  @generalCount 1  @endRowNumber 0  @score2Count 1
@productId 1901836  @averageScore 5  @beginRowNumber 0  @goodRate 0.921  @poorRateShow 4  @generalRateStyle 7  @poorRate 0.035  @goodRateShow 92  @generalRate 0.044  @generalRateShow 4  @goodRateStyle 138  @skuId 1901836  @score5Count 47314  @score4Count 4097  @poorRateStyle 5  @goodCount 51411  @poorCount 1961  @score1Count 1961  @score3Count 1770  @commentCount 55874  @showCount 6560  @generalCount 2502  @endRowNumber 0  @score2Count 732
@productId 10421814606  @averageScore 5  @beginRowNumber 0  @goodRate 0.917  @poorRateShow 4  @generalRateStyle 6  @poorRate 0.04  @goodRateShow 92  @generalRate 0.043  @generalRateShow 4  @goodRateStyle 138  @skuId 10421814606  @score5Count 1486  @score4Count 88  @poorRateStyle 6  @goodCount 1574  @poorCount 69  @score1Count 69  @score3Count 53  @commentCount 1717  @showCount 314  @generalCount 74  @endRowNumber 0  @score2Count 21
@productId 1358269  @averageScore 5  @beginRowNumber 0  @goodRate 0.945  @poorRateShow 2  @generalRateStyle 5  @poorRate 0.019  @goodRateShow 94  @generalRate 0.036  @generalRateShow 4  @goodRateStyle 142  @skuId 1358269  @score5Count 26347  @score4Count 1984  @poorRateStyle 3  @goodCount 28331  @poorCount 583  @score1Count 583  @score3Count 805  @commentCount 30011  @showCount 2752  @generalCount 1097  @endRowNumber 0  @score2Count 292
@productId 1945514  @averageScore 5  @beginRowNumber 0  @goodRate 0.963  @poorRateShow 1  @generalRateStyle 4  @poorRate 0.013  @goodRateShow 97  @generalRate 0.024  @generalRateShow 2  @goodRateStyle 144  @skuId 1945514  @score5Count 17225  @score4Count 944  @poorRateStyle 2  @goodCount 18169  @poorCount 249  @score1Count 249  @score3Count 348  @commentCount 18889  @showCount 2640  @generalCount 471  @endRowNumber 0  @score2Count 123
@productId 10136280584  @averageScore 5  @beginRowNumber 0  @goodRate 0.912  @poorRateShow 4  @generalRateStyle 7  @poorRate 0.042  @goodRateShow 91  @generalRate 0.046  @generalRateShow 5  @goodRateStyle 137  @skuId 10136280584  @score5Count 883  @score4Count 75  @poorRateStyle 6  @goodCount 958  @poorCount 45  @score1Count 45  @score3Count 39  @commentCount 1052  @showCount 123  @generalCount 49  @endRowNumber 0  @score2Count 10
@productId 562379  @averageScore 5  @beginRowNumber 0  @goodRate 0.912  @poorRateShow 5  @generalRateStyle 6  @poorRate 0.049  @goodRateShow 91  @generalRate 0.039  @generalRateShow 4  @goodRateStyle 137  @skuId 562379  @score5Count 4332  @score4Count 321  @poorRateStyle 7  @goodCount 4653  @poorCount 254  @score1Count 254  @score3Count 140  @commentCount 5110  @showCount 556  @generalCount 203  @endRowNumber 0  @score2Count 63
@productId 10181587896  @averageScore 5  @beginRowNumber 0  @goodRate 0.878  @poorRateShow 7  @generalRateStyle 8  @poorRate 0.072  @goodRateShow 88  @generalRate 0.05  @generalRateShow 5  @goodRateStyle 131  @skuId 10181587896  @score5Count 680  @score4Count 63  @poorRateStyle 11  @goodCount 743  @poorCount 61  @score1Count 61  @score3Count 29  @commentCount 847  @showCount 97  @generalCount 43  @endRowNumber 0  @score2Count 14
@productId 2022077  @averageScore 5  @beginRowNumber 0  @goodRate 0.963  @poorRateShow 2  @generalRateStyle 3  @poorRate 0.016  @goodRateShow 96  @generalRate 0.021  @generalRateShow 2  @goodRateStyle 145  @skuId 2022077  @score5Count 33065  @score4Count 1592  @poorRateStyle 2  @goodCount 34657  @poorCount 597  @score1Count 597  @score3Count 563  @commentCount 36024  @showCount 4712  @generalCount 770  @endRowNumber 0  @score2Count 207
